# Jt   I(t)
1.739999999999999991e+00 2.637935329022624287e-01
1.760000000000000009e+00 2.339024124787157100e-01
1.780000000000000027e+00 2.059690765152422665e-01
1.800000000000000044e+00 1.799513720951254891e-01
1.820000000000000062e+00 1.558104498737652999e-01
1.840000000000000080e+00 1.335106394582530054e-01
1.860000000000000098e+00 1.130193275542980685e-01
1.880000000000000115e+00 9.430684119224469475e-02
1.900000000000000133e+00 7.734633763862991396e-02
1.919999999999999929e+00 6.211370208216716177e-02
1.939999999999999947e+00 4.858745380647871287e-02
1.959999999999999964e+00 3.674866129121907854e-02
1.979999999999999982e+00 2.658086649215521055e-02
2.000000000000000000e+00 1.807001841937930925e-02
2.020000000000000018e+00 1.120441604624263128e-02
2.040000000000000036e+00 5.974660528401279022e-03
2.060000000000000053e+00 2.373616684030412441e-03
2.080000000000000071e+00 3.963836761329747930e-04
2.100000000000000089e+00 4.027484090593219516e-05
2.120000000000000107e+00 1.304806618285380944e-03
2.140000000000000124e+00 4.191696558784946229e-03
2.160000000000000142e+00 8.704870401845402408e-03
2.180000000000000160e+00 1.485047824252564222e-02
2.200000000000000178e+00 2.263691982305363407e-02
2.220000000000000195e+00 3.207487900084680932e-02
2.240000000000000213e+00 4.317736745210225269e-02
2.260000000000000231e+00 5.595977766627321937e-02
2.280000000000000249e+00 7.043994526711384874e-02
2.300000000000000266e+00 8.663822065464690803e-02
2.319999999999999840e+00 1.045775498917035085e-01
2.339999999999999858e+00 1.242835646485911244e-01
2.359999999999999876e+00 1.457846808567271335e-01
2.379999999999999893e+00 1.691122054891941451e-01
2.399999999999999911e+00 1.943004505599037757e-01
2.419999999999999929e+00 2.213868529824294662e-01
2.439999999999999947e+00 2.504120983134672795e-01
2.459999999999999964e+00 2.814202455692858540e-01
2.479999999999999982e+00 3.144588491730352375e-01
2.500000000000000000e+00 3.495790725680195110e-01
2.520000000000000018e+00 3.868357859851919156e-01
2.540000000000000036e+00 4.262876381051162178e-01
2.560000000000000053e+00 4.679970876675906277e-01
2.580000000000000071e+00 5.120303761359842332e-01
2.600000000000000089e+00 5.584574158879092032e-01
2.620000000000000107e+00 6.073515595010963164e-01
2.640000000000000124e+00 6.587892037587166350e-01
2.660000000000000142e+00 7.128491659783361412e-01
2.680000000000000160e+00 7.696117488034072140e-01
2.700000000000000178e+00 8.291573808902130693e-01
2.720000000000000195e+00 8.915646826621079768e-01
2.740000000000000213e+00 9.569077555814874403e-01
2.760000000000000231e+00 1.025252426715092202e+00
2.780000000000000249e+00 1.096651093847478053e+00
2.800000000000000266e+00 1.171135706325425740e+00
2.819999999999999840e+00 1.248708281048237945e+00
2.839999999999999858e+00 1.329328193811303516e+00
2.859999999999999876e+00 1.412895315630962045e+00
2.879999999999999893e+00 1.499227913236129694e+00
2.899999999999999911e+00 1.588034169444857202e+00
2.919999999999999929e+00 1.678876328512530547e+00
2.939999999999999947e+00 1.771127048360518597e+00
2.959999999999999964e+00 1.863918873468915605e+00
2.979999999999999982e+00 1.956090255250829912e+00
3.000000000000000000e+00 2.046135643071118171e+00
3.020000000000000018e+00 2.132172891414109372e+00
3.040000000000000036e+00 2.211947632495274707e+00
3.060000000000000053e+00 2.282898633483860795e+00
3.080000000000000071e+00 2.342305722796661716e+00
3.100000000000000089e+00 2.387527274489212648e+00
3.120000000000000107e+00 2.416305734051141130e+00
3.140000000000000124e+00 2.427084527911331779e+00
3.160000000000000142e+00 2.419255471825384696e+00
3.180000000000000160e+00 2.393261701751475012e+00
3.200000000000000178e+00 2.350522331176591262e+00
3.220000000000000195e+00 2.293203714646737001e+00
3.240000000000000213e+00 2.223907907710201304e+00
3.260000000000000231e+00 2.145360667487284267e+00
3.280000000000000249e+00 2.060160792380519634e+00
3.300000000000000266e+00 1.970617818219936757e+00
3.320000000000000284e+00 1.878674746847249555e+00
3.339999999999999858e+00 1.785895616081624393e+00
3.359999999999999876e+00 1.693493677877474957e+00
3.379999999999999893e+00 1.602379602615714438e+00
3.399999999999999911e+00 1.513215444370254792e+00
3.419999999999999929e+00 1.426466032810740581e+00
3.439999999999999947e+00 1.342443826390355088e+00
3.459999999999999964e+00 1.261346003641829583e+00
3.479999999999999982e+00 1.183284059219054329e+00
3.500000000000000000e+00 1.108306843404436526e+00
3.520000000000000018e+00 1.036418184160200040e+00
3.540000000000000036e+00 9.675901908792697848e-01
3.560000000000000053e+00 9.017731967227097245e-01
3.580000000000000071e+00 8.389031262619847107e-01
3.600000000000000089e+00 7.789069129563266358e-01
3.620000000000000107e+00 7.217064511711384078e-01
3.640000000000000124e+00 6.672214533523711522e-01
3.660000000000000142e+00 6.153714929296802971e-01
3.680000000000000160e+00 5.660774439511387923e-01
3.700000000000000178e+00 5.192624754379013829e-01
3.720000000000000195e+00 4.748527184119704647e-01
3.740000000000000213e+00 4.327776934920244400e-01
